genre,meta_mixed,meta_negative,meta_positive,metascore,movie_title,release_date,user_mixed,user_negative,user_positive,userscore
"Adventure,Fantasy,Comedy,Family",7,3,22,61,Stuart Little,17-Dec-99,34,7,45,6.7
"Mystery,Thriller,Horror,Family",16,1,16,61,Scary Stories to Tell in the Dark,9-Aug-19,26,9,49,6.7
"Comedy,Family",1,18,0,13,Daddy Day Camp,8-Aug-07,5,68,11,1.9
"Adventure,Fantasy,Comedy,Animation,Family",8,0,31,68,Early Man,16-Feb-18,28,10,45,6.2
"Drama,Fantasy,Comedy,Romance",11,8,14,48,Shallow Hal,9-Nov-01,29,21,33,5.4
"Drama,Comedy,Romance",1,0,7,78,Roman Holiday,27-Aug-53,8,4,68,8.4
"Adventure,Drama,Fantasy,Animation,Family",4,0,19,70,The Little Prince,5-Aug-16,11,5,64,7.6
"Action,Drama,Thriller,Crime",22,10,10,43,The Girl in the Spider's Web,9-Nov-18,38,21,21,4.9
"Drama,Romance",18,3,3,43,360,3-Aug-12,13,45,22,3.7
Comedy,13,2,21,60,Jeff Who Lives at Home,16-Mar-12,28,6,45,6.6
"Drama,Mystery,Crime",6,0,30,74,A Bigger Splash,4-May-16,14,8,56,6.8
"Action,Adventure,Comedy,Crime",18,9,12,48,Charlie's Angels: Full Throttle,27-Jun-03,34,18,26,5.4
"Action,Drama,Mystery,Thriller,Crime",24,13,4,39,The Gunman,20-Mar-15,34,26,18,4.5
"Drama,Crime",19,2,20,58,"Roman J. Israel, Esq.",17-Nov-17,37,4,35,6.4
"Drama,Comedy,Romance",11,10,6,41,Four Christmases,26-Nov-08,33,25,18,4.7
"Comedy,Romance",21,6,8,44,Along Came Polly,16-Jan-04,32,20,22,5
"Adventure,Fantasy,Family",21,13,4,39,The Nutcracker and the Four Realms,2-Nov-18,28,26,20,4.5
"Sci-Fi,Mystery,Horror",6,1,7,62,The Void,7-Apr-17,34,15,23,5.6
"Thriller,Comedy,Crime",9,18,0,24,The Whole Ten Yards,9-Apr-04,10,45,16,3
"Biography,Drama",8,0,26,76,At Eternity's Gate,16-Nov-18,19,4,47,7
"Drama,Comedy,War",13,4,13,56,War Machine,26-May-17,30,8,32,6.2
"Action,Adventure,Sci-Fi,Thriller",14,6,12,48,The Core,28-Mar-03,27,17,25,5.4
"Biography,Drama",8,0,30,68,Professor Marston & the Wonder Women,13-Oct-17,10,15,42,6.2
"Drama,Thriller,Fantasy",1,0,9,74,I Kill Giants,23-Mar-18,19,6,41,6.8
"Adventure,Comedy,Animation,Family",14,0,18,64,Looney Tunes: Back in Action,14-Nov-03,22,6,38,7
"Drama,History,Comedy,War",27,2,13,53,Billy Lynn's Long Halftime Walk,11-Nov-16,25,10,31,5.9
"Sci-Fi,Horror",4,3,4,50,Halloween III: Season of the Witch,22-Oct-82,27,13,24,5.6
Comedy,4,14,1,15,Tomcats,30-Mar-01,3,49,12,2.1
"Biography,Drama,Music",8,1,23,67,Nowhere Boy,8-Oct-10,12,1,50,7.3
"Adventure,Fantasy,Comedy,Animation,Family",11,1,14,59,The Ant Bully,28-Jul-06,28,13,22,5.3
"Drama,Comedy",4,1,30,80,Another Year,29-Dec-10,7,6,49,7.4
"Biography,Drama,History,Thriller,Crime",9,0,24,67,Chappaquiddick,6-Apr-18,15,1,46,7.3
"Drama,Thriller,Crime",3,1,24,82,A Simple Plan,11-Dec-98,3,5,53,7.6
"Adventure,Comedy,Animation,Family",15,1,10,55,The Secret Life of Pets 2,7-Jun-19,24,9,28,6.1
"Drama,War",13,2,20,61,Stop-Loss,28-Mar-08,10,12,37,6.7
"Biography,Drama",26,0,14,56,The Glass Castle,11-Aug-17,13,10,36,6.2
"Biography,Drama,History,War",7,2,15,64,Che,12-Dec-08,9,9,40,7
"Drama,Romance,Music",12,6,16,54,Song to Song,17-Mar-17,16,15,27,6
"Comedy,Romance",14,10,3,42,Overboard,4-May-18,20,20,18,4.8
"History,Fantasy,Horror,Romance",3,1,20,72,Tale of Tales,22-Apr-16,15,6,36,6.6
"Drama,Comedy,Romance",15,2,15,58,Prime,28-Oct-05,12,11,33,6.4
"Drama,Comedy",14,5,21,54,Melinda and Melinda,18-Mar-05,19,9,25,6
"Biography,Drama,History",1,0,14,76,The Last Emperor,18-Dec-87,5,1,46,8.2
Horror,0,2,13,66,Stake Land,22-Apr-11,16,3,31,7.2
"Action,Adventure,Fantasy,Family",8,1,25,66,The Kid Who Would Be King,25-Jan-19,18,7,23,6
Drama,3,0,24,77,Mississippi Grind,25-Sep-15,10,3,34,7.1
